Date,Open,High,Low,Close,Volume,Adj Close
2015-11-17,84.400002,85.529999,84.00,84.910004,921400,84.910004
2015-11-16,82.57,84.639999,82.040001,84.370003,763500,84.370003
2015-11-13,84.040001,84.639999,82.32,82.879997,1111200,82.879997
2015-11-12,83.489998,85.25,82.889999,84.50,1052700,84.50
2015-11-11,84.00,84.669998,83.080002,83.900002,856100,83.900002
2015-11-10,83.730003,84.50,83.209999,84.150002,1302000,84.150002
2015-11-09,85.00,85.529999,84.07,84.599998,1355600,84.599998
2015-11-06,84.120003,85.879997,84.00,85.239998,1344900,85.239998
2015-11-05,83.230003,84.489998,82.790001,83.910004,1308900,83.910004
2015-11-04,82.669998,84.400002,82.160004,83.839996,1734900,83.839996
2015-11-03,82.00,83.68,81.18,82.529999,1266300,82.529999
2015-11-02,81.68,82.419998,80.639999,82.019997,798800,82.019997
2015-10-30,81.940002,82.349998,80.900002,81.650002,1432700,81.650002
2015-10-29,82.010002,82.910004,81.379997,81.559998,815600,81.559998
2015-10-28,80.080002,82.18,79.720001,82.150002,1742600,82.150002
2015-10-27,78.370003,80.470001,78.169998,80.169998,1799400,80.169998
2015-10-26,78.870003,79.300003,77.75,78.800003,938200,78.800003
2015-10-23,78.190002,78.959999,75.32,78.889999,2620900,78.889999
2015-10-22,72.309998,78.610001,72.290001,77.949997,4022200,77.949997
2015-10-21,74.940002,75.129997,72.959999,73.019997,2482600,73.019997
2015-10-20,75.919998,76.589996,74.32,74.730003,1160700,74.730003
2015-10-19,76.339996,76.730003,74.870003,75.790001,1039800,75.790001
2015-10-16,75.379997,76.489998,75.07,76.459999,1054700,76.459999
2015-10-15,73.989998,76.300003,73.919998,75.639999,1289100,75.639999
2015-10-14,74.019997,75.019997,73.43,73.900002,1023000,73.900002
2015-10-13,74.080002,76.209999,73.599998,74.160004,767900,74.160004
2015-10-12,74.339996,75.239998,73.559998,74.279999,555600,74.279999
2015-10-09,73.120003,74.720001,72.18,74.419998,942300,74.419998
2015-10-08,74.93,74.93,71.769997,73.019997,1679400,73.019997
2015-10-07,75.230003,75.269997,73.019997,74.970001,1845800,74.970001
2015-10-06,75.900002,76.910004,74.25,74.580002,1272400,74.580002
2015-10-05,72.620003,76.529999,72.400002,76.470001,1826600,76.470001
2015-10-02,70.349998,72.260002,69.900002,72.230003,924000,72.230003
2015-10-01,69.139999,71.650002,67.650002,71.580002,1777400,71.580002
2015-09-30,69.720001,70.300003,67.07,69.449997,1693000,69.449997
2015-09-29,68.970001,69.650002,67.760002,68.940002,1083200,68.940002
2015-09-28,72.629997,72.809998,68.760002,69.029999,1761400,69.029999
2015-09-25,73.129997,74.480003,71.940002,72.860001,2369600,72.860001
2015-09-24,72.690002,72.730003,70.970001,72.120003,1108000,72.120003
2015-09-23,73.18,74.25,72.379997,72.989998,798100,72.989998
2015-09-22,73.269997,73.75,72.169998,73.059998,1063800,73.059998
2015-09-21,74.779999,75.620003,73.639999,74.410004,1010400,74.410004
2015-09-18,73.720001,75.019997,73.629997,74.360001,1424300,74.360001
2015-09-17,73.610001,75.540001,73.57,74.610001,720900,74.610001
2015-09-16,74.410004,74.620003,73.370003,73.940002,894800,73.940002
2015-09-15,73.650002,74.360001,73.029999,74.260002,827400,74.260002
2015-09-14,73.57,73.870003,72.349998,73.559998,1044600,73.559998
2015-09-11,72.75,73.660004,71.879997,73.599998,838700,73.599998
2015-09-10,71.639999,73.239998,71.639999,72.660004,871200,72.660004
2015-09-09,73.75,74.440002,71.809998,72.019997,1250200,72.019997
2015-09-08,70.980003,73.449997,70.699997,73.330002,1353700,73.330002
2015-09-04,70.209999,70.75,69.25,69.790001,1069100,69.790001
2015-09-03,70.339996,71.93,70.07,71.220001,1544600,71.220001
2015-09-02,69.57,69.959999,67.849998,69.949997,1781700,69.949997
2015-09-01,69.589996,70.870003,68.650002,68.919998,1573500,68.919998
2015-08-31,72.150002,72.779999,70.839996,70.959999,1004600,70.959999
2015-08-28,72.360001,73.370003,71.540001,72.540001,856500,72.540001
2015-08-27,71.940002,73.260002,70.419998,72.360001,1580700,72.360001
2015-08-26,70.339996,71.690002,68.879997,71.410004,1674100,71.410004
2015-08-25,70.800003,72.129997,68.239998,68.669998,1927200,68.669998
2015-08-24,65.970001,71.959999,64.290001,68.00,3299800,68.00
2015-08-21,69.43,71.00,68.550003,69.910004,1832000,69.910004
2015-08-20,74.879997,74.949997,70.160004,70.309998,1680400,70.309998
2015-08-19,76.50,76.540001,74.800003,75.629997,1155700,75.629997
2015-08-18,77.279999,77.879997,75.82,75.889999,588100,75.889999
2015-08-17,76.029999,77.279999,75.82,77.25,634200,77.25
2015-08-14,75.50,76.75,74.589996,76.629997,805900,76.629997
2015-08-13,76.709999,77.050003,74.730003,75.699997,912900,75.699997
2015-08-12,75.900002,76.910004,74.440002,76.849998,1066600,76.849998
2015-08-11,75.800003,77.099998,75.300003,76.669998,710900,76.669998
2015-08-10,77.540001,77.839996,76.32,76.589996,879500,76.589996
